date,store_id,product_id,sales,is_holiday,year,month,day,day_of_week,sales_lag_7,sales_lag_30,rolling_mean_7,rolling_mean_30
2021-01-31,1,1,79,0,2021,1,31,1,69,51,56.142857142857146,56.8
2021-02-01,1,1,47,0,2021,2,1,2,50,79,57.57142857142857,57.733333333333334
2021-02-02,1,1,47,0,2021,2,2,3,51,54,57.142857142857146,56.666666666666664
2021-02-03,1,1,56,0,2021,2,3,4,58,57,56.57142857142857,56.43333333333333
2021-02-04,1,1,51,0,2021,2,4,5,47,58,56.285714285714285,56.4
2021-02-05,1,1,0,0,2021,2,5,6,55,52,56.857142857142854,56.166666666666664
2021-02-06,1,1,65,0,2021,2,6,7,63,56,49.0,54.43333333333333
2021-02-07,1,1,71,0,2021,2,7,1,79,49,49.285714285714285,54.733333333333334
2021-02-08,1,1,48,0,2021,2,8,2,47,64,48.142857142857146,55.46666666666667
2021-02-09,1,1,50,0,2021,2,9,3,47,81,48.285714285714285,54.93333333333333
2021-02-10,1,1,53,0,2021,2,10,4,56,49,48.714285714285715,53.9
2021-02-11,1,1,44,0,2021,2,11,5,51,48,48.285714285714285,54.03333333333333
2021-02-12,1,1,54,0,2021,2,12,6,0,44,47.285714285714285,53.9
2021-02-13,1,1,71,0,2021,2,13,7,65,49,55.0,54.233333333333334
2021-02-14,1,1,70,0,2021,2,14,1,71,45,55.857142857142854,54.96666666666667
2021-02-15,1,1,49,0,2021,2,15,2,48,63,55.714285714285715,55.8
2021-02-16,1,1,45,0,2021,2,16,3,50,69,55.857142857142854,55.333333333333336
2021-02-17,1,1,47,0,2021,2,17,4,53,59,55.142857142857146,54.53333333333333
2021-02-18,1,1,50,0,2021,2,18,5,44,50,54.285714285714285,54.13333333333333
2021-02-19,1,1,42,0,2021,2,19,6,54,53,55.142857142857146,54.13333333333333
2021-02-20,1,1,63,0,2021,2,20,7,71,55,53.42857142857143,53.766666666666666
2021-02-21,1,1,56,0,2021,2,21,1,70,49,52.285714285714285,54.03333333333333
2021-02-22,1,1,50,0,2021,2,22,2,49,77,50.285714285714285,54.266666666666666
2021-02-23,1,1,46,0,2021,2,23,3,45,69,50.42857142857143,53.36666666666667
2021-02-24,1,1,48,0,2021,2,24,4,47,50,50.57142857142857,52.6
2021-02-25,1,1,47,0,2021,2,25,5,50,51,50.714285714285715,52.53333333333333
2021-02-26,1,1,51,0,2021,2,26,6,42,58,50.285714285714285,52.4
2021-02-27,1,1,74,0,2021,2,27,7,63,47,51.57142857142857,52.166666666666664
2021-02-28,1,1,61,0,2021,2,28,1,56,55,53.142857142857146,53.06666666666667
2021-03-01,1,1,57,0,2021,3,1,2,50,63,53.857142857142854,53.266666666666666
2021-03-02,1,1,55,0,2021,3,2,3,46,79,54.857142857142854,53.06666666666667
2021-03-03,1,1,54,0,2021,3,3,4,48,47,56.142857142857146,52.266666666666666
2021-03-04,1,1,52,0,2021,3,4,5,47,47,57.0,52.5
2021-03-05,1,1,53,0,2021,3,5,6,51,56,57.714285714285715,52.666666666666664
2021-03-06,1,1,53,0,2021,3,6,7,74,51,58.0,52.56666666666667
2021-03-07,1,1,53,0,2021,3,7,1,61,0,55.0,52.63333333333333
2021-03-08,1,1,54,0,2021,3,8,2,57,65,53.857142857142854,54.4
2021-03-09,1,1,52,0,2021,3,9,3,55,71,53.42857142857143,54.03333333333333
2021-03-10,1,1,46,0,2021,3,10,4,54,48,53.0,53.4
2021-03-11,1,1,52,0,2021,3,11,5,52,50,51.857142857142854,53.333333333333336
2021-03-12,1,1,50,0,2021,3,12,6,53,53,51.857142857142854,53.4
2021-03-13,1,1,74,0,2021,3,13,7,53,44,51.42857142857143,53.3
2021-03-14,1,1,69,0,2021,3,14,1,53,54,54.42857142857143,54.3
2021-03-15,1,1,58,0,2021,3,15,2,54,71,56.714285714285715,54.8
2021-03-16,1,1,46,0,2021,3,16,3,52,70,57.285714285714285,54.36666666666667
2021-03-17,1,1,55,0,2021,3,17,4,46,49,56.42857142857143,53.56666666666667
2021-03-18,1,1,45,0,2021,3,18,5,52,45,57.714285714285715,53.766666666666666
2021-03-19,1,1,52,0,2021,3,19,6,50,47,56.714285714285715,53.766666666666666
2021-03-20,1,1,65,0,2021,3,20,7,74,50,57.0,53.93333333333333
2021-03-21,1,1,56,0,2021,3,21,1,69,42,55.714285714285715,54.43333333333333
2021-03-22,1,1,52,0,2021,3,22,2,58,63,53.857142857142854,54.9
2021-03-23,1,1,54,0,2021,3,23,3,46,56,53.0,54.53333333333333
